,SDK Installer,SDK Binaries,Runtime Installer,Runtime Binaries,ASP.NET Core Runtime,Windows Desktop Runtime,Scraped Date,Package name,Version
Download Table,,,,,,,,,
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-arm.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-arm64.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-arm64.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-x86.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.android-x86.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.ios-arm64.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.tvossimulator-x64.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.NativeAOT.linux-bionic-arm64,8.0.0
,,,,,,,14-10-2025,runtime.linux-x64.Microsoft.DotNet.ILCompiler,8.0.0
,,,,,,,14-10-2025,runtime.linux-musl-arm64.Microsoft.NETCore.DotNetHostResolver,8.0.0
,,,,,,,14-10-2025,runtime.linux-musl-x64.Microsoft.NETCore.DotNetHost,8.0.0
,,,,,,,14-10-2025,runtime.linux-musl-x64.Microsoft.NETCore.ILAsm,8.0.0
,,,,,,,14-10-2025,runtime.linux-musl-x64.Microsoft.NETCore.ILDAsm,8.0.0
,,,,,,,14-10-2025,dotnet-ilverify,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.DependencyInjection.Abstractions,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Logging.TraceSource,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Options,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Crossgen2.win-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.linux-musl-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.linux-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.osx-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.linux-bionic-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.linux-musl-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Ref,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.linux-x64.Cross.android-x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.linux-x64.Cross.android-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.android-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.android-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.ios-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.android-x86,8.0.0
