Link Text,URL
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-desktop-8.0.20-windows-x64-installer
x86,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-desktop-8.0.20-windows-x86-installer
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-desktop-8.0.20-windows-arm64-installer
winget instructions,https://learn.microsoft.com/dotnet/core/install/windows?WT.mc_id=dotnet-35129-website#install-with-windows-package-manager-winget
Package manager instructions,https://learn.microsoft.com/dotnet/core/install/linux?WT.mc_id=dotnet-35129-website
Arm32,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-linux-arm32-binaries
Arm32 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-linux-arm32-alpine-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-linux-arm64-binaries
Arm64 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-linux-arm64-alpine-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-linux-x64-binaries
x64 Alpine,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-linux-x64-alpine-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-macos-arm64-installer
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-macos-x64-installer
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-macos-arm64-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-macos-x64-binaries
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-windows-x64-installer
x86,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-windows-x86-installer
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-windows-arm64-installer
winget instructions,https://learn.microsoft.com/dotnet/core/install/windows?WT.mc_id=dotnet-35129-website#install-with-windows-package-manager-winget
x64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-windows-x64-binaries
x86,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-windows-x86-binaries
Arm64,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/runtime-8.0.20-windows-arm64-binaries
dotnet-install scripts,https://dotnet.microsoft.com/en-us/download/dotnet/scripts
,https://github.com/dotnet/core/blob/main/release-notes/8.0/8.0.19/8.0.19.md?WT.mc_id=dotnet-35129-website
,https://learn.microsoft.com/dotnet/core/install/linux?WT.mc_id=dotnet-35129-website
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-linux-arm32-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-linux-arm32-alpine-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-linux-arm64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-linux-arm64-alpine-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-linux-x64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-linux-x64-alpine-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-macos-arm64-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-macos-x64-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-macos-arm64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-macos-x64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-windows-x64-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-windows-x86-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-windows-arm64-installer
,https://learn.microsoft.com/dotnet/core/install/windows?WT.mc_id=dotnet-35129-website#install-with-windows-package-manager-winget
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-windows-x64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-windows-x86-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.413-windows-arm64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/scripts
,https://learn.microsoft.com/dotnet/core/install/linux?WT.mc_id=dotnet-35129-website
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-linux-arm32-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-linux-arm32-alpine-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-linux-arm64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-linux-arm64-alpine-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-linux-x64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-linux-x64-alpine-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-macos-arm64-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-macos-x64-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-macos-arm64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-macos-x64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-windows-x64-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-windows-x86-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-windows-arm64-installer
,https://learn.microsoft.com/dotnet/core/install/windows?WT.mc_id=dotnet-35129-website#install-with-windows-package-manager-winget
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-windows-x64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-windows-x86-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.316-windows-arm64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/scripts
,https://learn.microsoft.com/dotnet/core/install/linux?WT.mc_id=dotnet-35129-website
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-linux-arm32-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-linux-arm32-alpine-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-linux-arm64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-linux-arm64-alpine-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-linux-x64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-linux-x64-alpine-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-macos-arm64-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-macos-x64-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-macos-arm64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-macos-x64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-windows-x64-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-windows-x86-installer
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-windows-arm64-installer
,https://learn.microsoft.com/dotnet/core/install/windows?WT.mc_id=dotnet-35129-website#install-with-windows-package-manager-winget
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-windows-x64-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-windows-x86-binaries
,https://dotnet.microsoft.com/en-us/download/dotnet/thank-you/sdk-8.0.119-windows-arm64-binaries
